You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/upto_syntaxtic.ec::CVC5:1
- StdOrder_RealOrder_ler_add
- StdOrder_RealOrder_ler_add2l
- StdOrder_RealOrder_ler_add2r
- StdOrder_RealOrder_ler_addl
- StdOrder_RealOrder_ler_addr
- StdOrder_RealOrder_ler_anti
- StdOrder_RealOrder_ler_asym
- StdOrder_RealOrder_ler_def
- StdOrder_RealOrder_ler_dist_add
- StdOrder_RealOrder_ler_dist_dist
- StdOrder_RealOrder_ler_dist_norm_add
- StdOrder_RealOrder_ler_eexpr
- StdOrder_RealOrder_ler_eqVlt
- StdOrder_RealOrder_ler_gtF
- StdOrder_RealOrder_ler_iexpr
- StdOrder_RealOrder_ler_leVge
- StdOrder_RealOrder_ler_lt_add
- StdOrder_RealOrder_ler_lt_asym
- StdOrder_RealOrder_ler_lt_sub
- StdOrder_RealOrder_ler_lt_trans
- StdOrder_RealOrder_ler_maxl
- StdOrder_RealOrder_ler_maxr
- StdOrder_RealOrder_ler_maxrP
- StdOrder_RealOrder_ler_maxr_trans
- StdOrder_RealOrder_ler_minl
- StdOrder_RealOrder_ler_minr
- StdOrder_RealOrder_ler_naddl
- StdOrder_RealOrder_ler_naddr
- StdOrder_RealOrder_ler_ndivl_mull
- StdOrder_RealOrder_ler_ndivl_mulr
- StdOrder_RealOrder_ler_ndivr_mull
- StdOrder_RealOrder_ler_ndivr_mulr
- StdOrder_RealOrder_ler_nemull
- StdOrder_RealOrder_ler_nemulr
- StdOrder_RealOrder_ler_nimull
- StdOrder_RealOrder_ler_nimulr
- StdOrder_RealOrder_ler_ninv
- StdOrder_RealOrder_ler_nmul2l
- StdOrder_RealOrder_ler_nmul2r
- StdOrder_RealOrder_ler_nmull
- StdOrder_RealOrder_ler_nmulr
- StdOrder_RealOrder_ler_nnorml
- StdOrder_RealOrder_ler_norm
- StdOrder_RealOrder_ler_norm_add
- StdOrder_RealOrder_ler_norm_maxr
- StdOrder_RealOrder_ler_norm_sub
- StdOrder_RealOrder_ler_norml
- StdOrder_RealOrder_ler_normr
- StdOrder_RealOrder_ler_opp2
- StdOrder_RealOrder_ler_oppl
- StdOrder_RealOrder_ler_oppr
- StdOrder_RealOrder_ler_paddl
- StdOrder_RealOrder_ler_paddr
- StdOrder_RealOrder_ler_pdivl_mull
- StdOrder_RealOrder_ler_pdivl_mulr
- StdOrder_RealOrder_ler_pdivr_mull
- StdOrder_RealOrder_ler_pdivr_mulr
- StdOrder_RealOrder_ler_pemull
- StdOrder_RealOrder_ler_pemulr
- StdOrder_RealOrder_ler_pexp
- StdOrder_RealOrder_ler_pimull
- StdOrder_RealOrder_ler_pimulr
- StdOrder_RealOrder_ler_pinv
- StdOrder_RealOrder_ler_pmul
- StdOrder_RealOrder_ler_pmul2l
- StdOrder_RealOrder_ler_pmul2r
- StdOrder_RealOrder_ler_pmull
- StdOrder_RealOrder_ler_pmulr
- StdOrder_RealOrder_ler_sub
- StdOrder_RealOrder_ler_sub_dist
- StdOrder_RealOrder_ler_sub_norm_add
- StdOrder_RealOrder_ler_subl_addl
- StdOrder_RealOrder_ler_subl_addr
- StdOrder_RealOrder_ler_subr_addl
- StdOrder_RealOrder_ler_subr_addr
- StdOrder_RealOrder_ler_total
- StdOrder_RealOrder_ler_trans
- StdOrder_RealOrder_ler_weexpn2l
- StdOrder_RealOrder_ler_weexpn2r
- StdOrder_RealOrder_ler_wiexpn2l
- StdOrder_RealOrder_ler_wnmul2l
- StdOrder_RealOrder_ler_wnmul2r
- StdOrder_RealOrder_ler_wpmul2l
- StdOrder_RealOrder_ler_wpmul2r
- StdOrder_RealOrder_lerr
- StdOrder_RealOrder_lerr_eq
- StdOrder_RealOrder_lt0r
- StdOrder_RealOrder_lt0r_neq0
- StdOrder_RealOrder_ltf_ninv
- StdOrder_RealOrder_ltf_pinv
- StdOrder_RealOrder_ltr01
- StdOrder_RealOrder_ltr0N1
- StdOrder_RealOrder_ltr0Sn
- StdOrder_RealOrder_ltr0_neq0
- StdOrder_RealOrder_ltr0_norm
- StdOrder_RealOrder_ltr0n
- StdOrder_RealOrder_ltrN10
- StdOrder_RealOrder_ltrNge
- StdOrder_RealOrder_ltrW
- StdOrder_RealOrder_ltr_add
- StdOrder_RealOrder_ltr_add2l
- StdOrder_RealOrder_ltr_add2r
- StdOrder_RealOrder_ltr_addl
- StdOrder_RealOrder_ltr_addr
- StdOrder_RealOrder_ltr_asym
- StdOrder_RealOrder_ltr_def
- StdOrder_RealOrder_ltr_eexpr
- StdOrder_RealOrder_ltr_eqF
- StdOrder_RealOrder_ltr_geF
- StdOrder_RealOrder_ltr_gtF
- StdOrder_RealOrder_ltr_iexpr
- StdOrder_RealOrder_ltr_le_add
- StdOrder_RealOrder_ltr_le_asym
- StdOrder_RealOrder_ltr_le_sub
- StdOrder_RealOrder_ltr_le_trans
- StdOrder_RealOrder_ltr_maxrP
- StdOrder_RealOrder_ltr_naddl
- StdOrder_RealOrder_ltr_naddr
- StdOrder_RealOrder_ltr_ndivl_mull
- StdOrder_RealOrder_ltr_ndivl_mulr
- StdOrder_RealOrder_ltr_ndivr_mull
- StdOrder_RealOrder_ltr_ndivr_mulr
- StdOrder_RealOrder_ltr_neqAle
- StdOrder_RealOrder_ltr_ninv
- StdOrder_RealOrder_ltr_nmul2l
- StdOrder_RealOrder_ltr_nmul2r
- StdOrder_RealOrder_ltr_nmull
- StdOrder_RealOrder_ltr_nmulr
- StdOrder_RealOrder_ltr_nnorml
- StdOrder_RealOrder_ltr_norml
- StdOrder_RealOrder_ltr_normr
- StdOrder_RealOrder_ltr_opp2
- StdOrder_RealOrder_ltr_oppl
- StdOrder_RealOrder_ltr_oppr
- StdOrder_RealOrder_ltr_paddl
- StdOrder_RealOrder_ltr_paddr
- StdOrder_RealOrder_ltr_pdivl_mull
- StdOrder_RealOrder_ltr_pdivl_mulr
- StdOrder_RealOrder_ltr_pdivr_mull
- StdOrder_RealOrder_ltr_pdivr_mulr
- StdOrder_RealOrder_ltr_pinv
- StdOrder_RealOrder_ltr_pmul
- StdOrder_RealOrder_ltr_pmul2l
- StdOrder_RealOrder_ltr_pmul2r
- StdOrder_RealOrder_ltr_pmull
- StdOrder_RealOrder_ltr_pmulr
- StdOrder_RealOrder_ltr_snaddl
- StdOrder_RealOrder_ltr_snaddr
- StdOrder_RealOrder_ltr_snsaddl
- StdOrder_RealOrder_ltr_snsaddr
- StdOrder_RealOrder_ltr_spaddl
- StdOrder_RealOrder_ltr_spaddr
- StdOrder_RealOrder_ltr_spsaddl
- StdOrder_RealOrder_ltr_spsaddr
- StdOrder_RealOrder_ltr_sub
- StdOrder_RealOrder_ltr_subl_addl
- StdOrder_RealOrder_ltr_subl_addr
- StdOrder_RealOrder_ltr_subr_addl
- StdOrder_RealOrder_ltr_subr_addr
- StdOrder_RealOrder_ltr_total
- StdOrder_RealOrder_ltr_trans
- StdOrder_RealOrder_ltrr
- StdOrder_RealOrder_maxr'def
- StdOrder_RealOrder_maxrE
- StdOrder_RealOrder_maxr_ub
- StdOrder_RealOrder_maxrl
- StdOrder_RealOrder_maxrr
- StdOrder_RealOrder_minr'def
- StdOrder_RealOrder_minrE
- StdOrder_RealOrder_minr_lb
- StdOrder_RealOrder_minrl
- StdOrder_RealOrder_minrr
- StdOrder_RealOrder_mono_inj
- StdOrder_RealOrder_mulr_ege1
- StdOrder_RealOrder_mulr_egt1
- StdOrder_RealOrder_mulr_ge0
- StdOrder_RealOrder_mulr_ge0_le0
- StdOrder_RealOrder_mulr_gt0
- StdOrder_RealOrder_mulr_ile1
- StdOrder_RealOrder_mulr_ilt1
- StdOrder_RealOrder_mulr_le0
- StdOrder_RealOrder_mulr_le0_ge0
- StdOrder_RealOrder_naddr_eq0
- StdOrder_RealOrder_nmono_inj
- StdOrder_RealOrder_nmulr_lge0
- StdOrder_RealOrder_nmulr_lgt0
- StdOrder_RealOrder_nmulr_lle0
- StdOrder_RealOrder_nmulr_llt0
- StdOrder_RealOrder_nmulr_rge0
- StdOrder_RealOrder_nmulr_rgt0
- StdOrder_RealOrder_nmulr_rle0
- StdOrder_RealOrder_nmulr_rlt0
- StdOrder_RealOrder_normE
- StdOrder_RealOrder_normrN
- StdOrder_RealOrder_normrN1
- StdOrder_RealOrder_normrZ
- StdOrder_RealOrder_normr_ge0
- StdOrder_RealOrder_normr_gt0
- StdOrder_RealOrder_normr_idP
- StdOrder_RealOrder_normr_le0
- StdOrder_RealOrder_normr_lt0
- StdOrder_RealOrder_oppr_ge0
- StdOrder_RealOrder_oppr_gt0
- StdOrder_RealOrder_oppr_le0
- StdOrder_RealOrder_oppr_lt0
- StdOrder_RealOrder_paddr_eq0
- StdOrder_RealOrder_pmulr_gt0
- StdOrder_RealOrder_pmulr_lge0
- StdOrder_RealOrder_pmulr_lgt0
- StdOrder_RealOrder_pmulr_lle0
- StdOrder_RealOrder_pmulr_llt0
- StdOrder_RealOrder_pmulr_rge0
- StdOrder_RealOrder_pmulr_rgt0
- StdOrder_RealOrder_pmulr_rle0
- StdOrder_RealOrder_pmulr_rlt0
- StdOrder_RealOrder_real_axiom
- StdOrder_RealOrder_subr_ge0
- StdOrder_RealOrder_subr_gt0
- StdOrder_RealOrder_subr_le0
- StdOrder_RealOrder_subr_lt0
- StdOrder_RealOrder_upto_maxr
- test

Answer with up to 8 candidate names, ranked most-necessary first, copied
EXACTLY from the list above.
