You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/MEE-CBC/RCPA_CMA.ec::CVC5:8
- StdBigop_Bigbool_BBOr_big_seq
- StdBigop_Bigbool_BBOr_big_seq1
- StdBigop_Bigbool_BBOr_eq_big_int
- StdBigop_Bigbool_BBOr_eq_big_perm_map
- StdBigop_Bigbool_BBOr_eq_big_seq
- StdBigop_Bigbool_BBXor_big'def
- StdBigop_Bigbool_BBXor_bigEM
- StdBigop_Bigbool_BBXor_big_allpairs
- StdBigop_Bigbool_BBXor_big_cons
- StdBigop_Bigbool_BBXor_big_consT
- StdBigop_Bigbool_BBXor_big_eq_idm_filter
- StdBigop_Bigbool_BBXor_big_filter
- StdBigop_Bigbool_BBXor_big_flatten
- StdBigop_Bigbool_BBXor_big_int
- StdBigop_Bigbool_BBXor_big_int1
- StdBigop_Bigbool_BBXor_big_mapT
- StdBigop_Bigbool_BBXor_big_mkcond
- StdBigop_Bigbool_BBXor_big_nil
- StdBigop_Bigbool_BBXor_big_nseq
- StdBigop_Bigbool_BBXor_big_seq
- StdBigop_Bigbool_BBXor_big_seq1
- StdBigop_Bigbool_BBXor_eq_big_int
- StdBigop_Bigbool_BBXor_eq_big_perm_map
- StdBigop_Bigbool_BBXor_eq_big_seq
- StdBigop_Bigint_BIA_big'def
- StdBigop_Bigint_BIA_bigEM
- StdBigop_Bigint_BIA_big_allpairs
- StdBigop_Bigint_BIA_big_cons
- StdBigop_Bigint_BIA_big_consT
- StdBigop_Bigint_BIA_big_eq_idm_filter
- StdBigop_Bigint_BIA_big_filter
- StdBigop_Bigint_BIA_big_flatten
- StdBigop_Bigint_BIA_big_int
- StdBigop_Bigint_BIA_big_int1
- StdBigop_Bigint_BIA_big_int_recl
- StdBigop_Bigint_BIA_big_int_recr
- StdBigop_Bigint_BIA_big_ltn
- StdBigop_Bigint_BIA_big_mapT
- StdBigop_Bigint_BIA_big_mkcond
- StdBigop_Bigint_BIA_big_nil
- StdBigop_Bigint_BIA_big_nseq
- StdBigop_Bigint_BIA_big_seq
- StdBigop_Bigint_BIA_big_seq1
- StdBigop_Bigint_BIA_eq_big_int
- StdBigop_Bigint_BIA_eq_big_perm_map
- StdBigop_Bigint_BIA_eq_big_seq
- StdBigop_Bigint_BIM_big'def
- StdBigop_Bigint_BIM_bigEM
- StdBigop_Bigint_BIM_big_allpairs
- StdBigop_Bigint_BIM_big_cons
- StdBigop_Bigint_BIM_big_consT
- StdBigop_Bigint_BIM_big_eq_idm_filter
- StdBigop_Bigint_BIM_big_filter
- StdBigop_Bigint_BIM_big_flatten
- StdBigop_Bigint_BIM_big_int
- StdBigop_Bigint_BIM_big_int1
- StdBigop_Bigint_BIM_big_mapT
- StdBigop_Bigint_BIM_big_mkcond
- StdBigop_Bigint_BIM_big_nil
- StdBigop_Bigint_BIM_big_nseq
- StdBigop_Bigint_BIM_big_seq
- StdBigop_Bigint_BIM_big_seq1
- StdBigop_Bigint_BIM_eq_big_int
- StdBigop_Bigint_BIM_eq_big_perm_map
- StdBigop_Bigint_BIM_eq_big_seq
- StdBigop_Bigint_mulr_const
- StdBigop_Bigint_sumzE
- StdBigop_Bigreal_BRA_big'def
- StdBigop_Bigreal_BRA_big1
- StdBigop_Bigreal_BRA_big1_eq
- StdBigop_Bigreal_BRA_big1_seq
- StdBigop_Bigreal_BRA_bigEM
- StdBigop_Bigreal_BRA_big_allpairs
- StdBigop_Bigreal_BRA_big_comp
- StdBigop_Bigreal_BRA_big_cons
- StdBigop_Bigreal_BRA_big_consT
- StdBigop_Bigreal_BRA_big_const
- StdBigop_Bigreal_BRA_big_distr
- StdBigop_Bigreal_BRA_big_distrl
- StdBigop_Bigreal_BRA_big_distrr
- StdBigop_Bigreal_BRA_big_endo
- StdBigop_Bigreal_BRA_big_eq_idm_filter
- StdBigop_Bigreal_BRA_big_filter
- StdBigop_Bigreal_BRA_big_flatten
- StdBigop_Bigreal_BRA_big_geq
- StdBigop_Bigreal_BRA_big_hasC
- StdBigop_Bigreal_BRA_big_ind
- StdBigop_Bigreal_BRA_big_ind2
- StdBigop_Bigreal_BRA_big_int
- StdBigop_Bigreal_BRA_big_int1
- StdBigop_Bigreal_BRA_big_int_recl_cond
- StdBigop_Bigreal_BRA_big_int_recr_cond
- StdBigop_Bigreal_BRA_big_mapT
- StdBigop_Bigreal_BRA_big_mkcond
- StdBigop_Bigreal_BRA_big_nil
- StdBigop_Bigreal_BRA_big_nseq
- StdBigop_Bigreal_BRA_big_nseq_cond
- StdBigop_Bigreal_BRA_big_pred0
- StdBigop_Bigreal_BRA_big_pred0_eq
- StdBigop_Bigreal_BRA_big_rec
- StdBigop_Bigreal_BRA_big_rec2
- StdBigop_Bigreal_BRA_big_rem
- StdBigop_Bigreal_BRA_big_seq
- StdBigop_Bigreal_BRA_big_seq1
- StdBigop_Bigreal_BRA_big_undup
- StdBigop_Bigreal_BRA_eq_big_int
- StdBigop_Bigreal_BRA_eq_big_perm_map
- StdBigop_Bigreal_BRA_eq_big_seq
- StdBigop_Bigreal_BRA_sumr_1
- StdBigop_Bigreal_BRM_big'def
- StdBigop_Bigreal_BRM_big1
- StdBigop_Bigreal_BRM_big1_eq
- StdBigop_Bigreal_BRM_big1_seq
- StdBigop_Bigreal_BRM_bigEM
- StdBigop_Bigreal_BRM_big_allpairs
- StdBigop_Bigreal_BRM_big_comp
- StdBigop_Bigreal_BRM_big_cons
- StdBigop_Bigreal_BRM_big_consT
- StdBigop_Bigreal_BRM_big_const
- StdBigop_Bigreal_BRM_big_distr
- StdBigop_Bigreal_BRM_big_distrl
- StdBigop_Bigreal_BRM_big_distrr
- StdBigop_Bigreal_BRM_big_endo
- StdBigop_Bigreal_BRM_big_eq_idm_filter
- StdBigop_Bigreal_BRM_big_filter
- StdBigop_Bigreal_BRM_big_flatten
- StdBigop_Bigreal_BRM_big_geq
- StdBigop_Bigreal_BRM_big_hasC
- StdBigop_Bigreal_BRM_big_ind
- StdBigop_Bigreal_BRM_big_ind2
- StdBigop_Bigreal_BRM_big_int
- StdBigop_Bigreal_BRM_big_int1
- StdBigop_Bigreal_BRM_big_int_recl_cond
- StdBigop_Bigreal_BRM_big_int_recr_cond
- StdBigop_Bigreal_BRM_big_mapT
- StdBigop_Bigreal_BRM_big_mkcond
- StdBigop_Bigreal_BRM_big_nil
- StdBigop_Bigreal_BRM_big_nseq
- StdBigop_Bigreal_BRM_big_nseq_cond
- StdBigop_Bigreal_BRM_big_pred0
- StdBigop_Bigreal_BRM_big_pred0_eq
- StdBigop_Bigreal_BRM_big_rec
- StdBigop_Bigreal_BRM_big_rec2
- StdBigop_Bigreal_BRM_big_rem
- StdBigop_Bigreal_BRM_big_seq
- StdBigop_Bigreal_BRM_big_seq1
- StdBigop_Bigreal_BRM_big_undup
- StdBigop_Bigreal_BRM_eq_big_int
- StdBigop_Bigreal_BRM_eq_big_perm_map
- StdBigop_Bigreal_BRM_eq_big_seq
- StdBigop_Bigreal_Num_Domain_AddMonoid_add0m
- StdBigop_Bigreal_Num_Domain_AddMonoid_addm0
- StdBigop_Bigreal_Num_Domain_AddMonoid_iteropE
- StdBigop_Bigreal_Num_Domain_MulMonoid_add0m
- StdBigop_Bigreal_Num_Domain_MulMonoid_addm0
- StdBigop_Bigreal_Num_Domain_MulMonoid_iteropE
- StdBigop_Bigreal_Num_Domain_add0r
- StdBigop_Bigreal_Num_Domain_addNr
- StdBigop_Bigreal_Num_Domain_addr0
- StdBigop_Bigreal_Num_Domain_addrN
- StdBigop_Bigreal_Num_Domain_addr_eq0
- StdBigop_Bigreal_Num_Domain_div1r
- StdBigop_Bigreal_Num_Domain_divr1
- StdBigop_Bigreal_Num_Domain_divrr
- StdBigop_Bigreal_Num_Domain_eqr_div
- StdBigop_Bigreal_Num_Domain_expf_eq0
- StdBigop_Bigreal_Num_Domain_expr0
- StdBigop_Bigreal_Num_Domain_expr0n
- StdBigop_Bigreal_Num_Domain_expr0z
- StdBigop_Bigreal_Num_Domain_expr1z
- StdBigop_Bigreal_Num_Domain_exprD
- StdBigop_Bigreal_Num_Domain_fracrDE
- StdBigop_Bigreal_Num_Domain_intmulpE
- StdBigop_Bigreal_Num_Domain_invr0
- StdBigop_Bigreal_Num_Domain_invr1
- StdBigop_Bigreal_Num_Domain_invrM
- StdBigop_Bigreal_Num_Domain_invrN1
- StdBigop_Bigreal_Num_Domain_invr_eq0
- StdBigop_Bigreal_Num_Domain_invr_eq1
- StdBigop_Bigreal_Num_Domain_invr_neq0
- StdBigop_Bigreal_Num_Domain_invr_out
- StdBigop_Bigreal_Num_Domain_lreg1
- StdBigop_Bigreal_Num_Domain_lregP
- StdBigop_Bigreal_Num_Domain_lreg_neq0
- StdBigop_Bigreal_Num_Domain_mul0r
- StdBigop_Bigreal_Num_Domain_mul1r
- StdBigop_Bigreal_Num_Domain_mul1r0z
- StdBigop_Bigreal_Num_Domain_mulIf
- StdBigop_Bigreal_Num_Domain_mulIr
- StdBigop_Bigreal_Num_Domain_mulKr
- StdBigop_Bigreal_Num_Domain_mulN1r
- StdBigop_Bigreal_Num_Domain_mulVKr
- StdBigop_Bigreal_Num_Domain_mulVr
- StdBigop_Bigreal_Num_Domain_mulfI
- StdBigop_Bigreal_Num_Domain_mulf_eq0
- StdBigop_Bigreal_Num_Domain_mulf_neq0
- StdBigop_Bigreal_Num_Domain_mulr0
- StdBigop_Bigreal_Num_Domain_mulr0z
- StdBigop_Bigreal_Num_Domain_mulr1
- StdBigop_Bigreal_Num_Domain_mulrI
- StdBigop_Bigreal_Num_Domain_mulrI0_lreg
- StdBigop_Bigreal_Num_Domain_mulrI_eq0
- StdBigop_Bigreal_Num_Domain_mulrK
- StdBigop_Bigreal_Num_Domain_mulrN1
- StdBigop_Bigreal_Num_Domain_mulrSl
- StdBigop_Bigreal_Num_Domain_mulrV
- StdBigop_Bigreal_Num_Domain_mulrVK
- StdBigop_Bigreal_Num_Domain_ofint0
- StdBigop_Bigreal_Num_Domain_ofint1
- StdBigop_Bigreal_Num_Domain_ofintS
- StdBigop_Bigreal_Num_Domain_oner_neq0
- StdBigop_Bigreal_Num_Domain_oppr0
- StdBigop_Bigreal_Num_Domain_oppr_eq0
- StdBigop_Bigreal_Num_Domain_signr_odd
- StdBigop_Bigreal_Num_Domain_sqrf_eq1
- StdBigop_Bigreal_Num_Domain_sub0r
- StdBigop_Bigreal_Num_Domain_subr0
- StdBigop_Bigreal_Num_Domain_subr_eq0
- StdBigop_Bigreal_Num_Domain_subr_sqr_1
- StdBigop_Bigreal_Num_Domain_subrr
- StdBigop_Bigreal_Num_Domain_unitP
- StdBigop_Bigreal_Num_Domain_unitout
- StdBigop_Bigreal_Num_Domain_unitr0
- StdBigop_Bigreal_Num_Domain_unitr1
- StdBigop_Bigreal_Num_Domain_unitrE
- StdBigop_Bigreal_Num_Domain_unitrM
- StdBigop_Bigreal_Num_Domain_unitrMl
- StdBigop_Bigreal_Num_Domain_unitrMr
- StdBigop_Bigreal_Num_Domain_unitrN
- StdBigop_Bigreal_Num_Domain_unitrN1
- StdBigop_Bigreal_Num_Domain_unitrP
- StdBigop_Bigreal_Num_Domain_unitrV
- StdBigop_Bigreal_Num_Domain_unitrX
- StdBigop_Bigreal_Num_Domain_unitrX_neq0
- StdBigop_Bigreal_gt0_prodr_seq
- StdBigop_Bigreal_ler_pexpn2r
- StdBigop_Bigreal_ler_prod
- StdBigop_Bigreal_ler_prod_seq
- StdBigop_Bigreal_mulr_const
- StdBigop_Bigreal_prodr_eq0
- StdBigop_Bigreal_prodr_ge0
- StdBigop_Bigreal_prodr_ge0_seq
- StdBigop_Bigreal_prodr_gt0
- StdBigop_Bigreal_prodr_gt0_seq
- StdBigop_Bigreal_prodr_ofint
- StdBigop_Bigreal_sub_ler_sum
- StdBigop_Bigreal_sum_expr
- StdBigop_Bigreal_sum_expr_le
- StdBigop_Bigreal_sum_iexpr_le
- StdBigop_Bigreal_sum_ipow_le
- StdBigop_Bigreal_sum_pow
- StdBigop_Bigreal_sum_pow_le
- StdBigop_Bigreal_sumidE
- StdBigop_Bigreal_sumr1
- StdBigop_Bigreal_sumr1_int
- StdBigop_Bigreal_sumr_const
- StdBigop_Bigreal_sumr_ge0
- StdBigop_Bigreal_sumr_ge0_seq
- StdBigop_Bigreal_sumr_norm
- StdBigop_Bigreal_sumr_ofint
- StdBigop_Bigreal_sumr_undup
- StdBigop_Bigreal_sumri_const
- StdOrder_RealOrder_Domain_AddMonoid_add0m
- StdOrder_RealOrder_Domain_AddMonoid_addm0
- StdOrder_RealOrder_Domain_AddMonoid_iteropE
- StdOrder_RealOrder_Domain_MulMonoid_add0m
- StdOrder_RealOrder_Domain_MulMonoid_addm0
- StdOrder_RealOrder_Domain_MulMonoid_iteropE
- StdOrder_RealOrder_Domain_add0r
- StdOrder_RealOrder_Domain_addNr
- StdOrder_RealOrder_Domain_addr0
- StdOrder_RealOrder_Domain_addrN
- StdOrder_RealOrder_Domain_addr_eq0
- StdOrder_RealOrder_Domain_div1r
- StdOrder_RealOrder_Domain_divr1
- StdOrder_RealOrder_Domain_divrr
- StdOrder_RealOrder_Domain_eqr_div
- StdOrder_RealOrder_Domain_expf_eq0
- StdOrder_RealOrder_Domain_expr0
- StdOrder_RealOrder_Domain_expr0n
- StdOrder_RealOrder_Domain_expr0z
- StdOrder_RealOrder_Domain_expr1z
- StdOrder_RealOrder_Domain_exprD
- StdOrder_RealOrder_Domain_fracrDE
- StdOrder_RealOrder_Domain_intmulpE
- StdOrder_RealOrder_Domain_invr0
- StdOrder_RealOrder_Domain_invr1
- StdOrder_RealOrder_Domain_invrM
- StdOrder_RealOrder_Domain_invrN1
- StdOrder_RealOrder_Domain_invr_eq0
- StdOrder_RealOrder_Domain_invr_eq1
- StdOrder_RealOrder_Domain_invr_neq0
- StdOrder_RealOrder_Domain_invr_out
- StdOrder_RealOrder_Domain_lreg1
- StdOrder_RealOrder_Domain_lregP
- StdOrder_RealOrder_Domain_lreg_neq0
- StdOrder_RealOrder_Domain_mul0r
- StdOrder_RealOrder_Domain_mul1r
- StdOrder_RealOrder_Domain_mul1r0z
- StdOrder_RealOrder_Domain_mulIf
- StdOrder_RealOrder_Domain_mulIr
- StdOrder_RealOrder_Domain_mulKr
- StdOrder_RealOrder_Domain_mulN1r
- StdOrder_RealOrder_Domain_mulVKr
- StdOrder_RealOrder_Domain_mulVr
- StdOrder_RealOrder_Domain_mulfI
- StdOrder_RealOrder_Domain_mulf_eq0
- StdOrder_RealOrder_Domain_mulf_neq0
- StdOrder_RealOrder_Domain_mulr0
- StdOrder_RealOrder_Domain_mulr0z
- StdOrder_RealOrder_Domain_mulr1
- StdOrder_RealOrder_Domain_mulrI
- StdOrder_RealOrder_Domain_mulrI0_lreg
- StdOrder_RealOrder_Domain_mulrI_eq0
- StdOrder_RealOrder_Domain_mulrK
- StdOrder_RealOrder_Domain_mulrN1
- StdOrder_RealOrder_Domain_mulrSl
- StdOrder_RealOrder_Domain_mulrV
- StdOrder_RealOrder_Domain_mulrVK
- StdOrder_RealOrder_Domain_ofint0
- StdOrder_RealOrder_Domain_ofint1
- StdOrder_RealOrder_Domain_ofintS
- StdOrder_RealOrder_Domain_oner_neq0
- StdOrder_RealOrder_Domain_oppr0
- StdOrder_RealOrder_Domain_oppr_eq0
- StdOrder_RealOrder_Domain_signr_odd
- StdOrder_RealOrder_Domain_sqrf_eq1
- StdOrder_RealOrder_Domain_sub0r
- StdOrder_RealOrder_Domain_subr0
- StdOrder_RealOrder_Domain_subr_eq0
- StdOrder_RealOrder_Domain_subr_sqr_1
- StdOrder_RealOrder_Domain_subrr
- StdOrder_RealOrder_Domain_unitP
- StdOrder_RealOrder_Domain_unitout
- StdOrder_RealOrder_Domain_unitr0
- StdOrder_RealOrder_Domain_unitr1
- StdOrder_RealOrder_Domain_unitrE
- StdOrder_RealOrder_Domain_unitrM
- StdOrder_RealOrder_Domain_unitrMl
- StdOrder_RealOrder_Domain_unitrMr
- StdOrder_RealOrder_Domain_unitrN
- StdOrder_RealOrder_Domain_unitrN1
- StdOrder_RealOrder_Domain_unitrP
- StdOrder_RealOrder_Domain_unitrV
- StdOrder_RealOrder_Domain_unitrX
- StdOrder_RealOrder_Domain_unitrX_neq0
- StdOrder_RealOrder_addr_ge0
- StdOrder_RealOrder_addr_gt0
- StdOrder_RealOrder_addr_ss_eq0
- StdOrder_RealOrder_divr_ge0
- StdOrder_RealOrder_divr_gt0
- StdOrder_RealOrder_eqr_normN
- StdOrder_RealOrder_eqr_norm_id
- StdOrder_RealOrder_eqr_norml
- StdOrder_RealOrder_expr_ge0
- StdOrder_RealOrder_expr_gt0
- StdOrder_RealOrder_exprn_ege1
- StdOrder_RealOrder_exprn_egt1
- StdOrder_RealOrder_exprn_ile1
- StdOrder_RealOrder_exprn_ilt1
- StdOrder_RealOrder_ge0_sqr
- StdOrder_RealOrder_ger0_def
- StdOrder_RealOrder_ger0_norm
- StdOrder_RealOrder_ger_addl
- StdOrder_RealOrder_ger_addr
- StdOrder_RealOrder_ger_leVge
- StdOrder_RealOrder_ger_nmull
- StdOrder_RealOrder_ger_nmulr
- StdOrder_RealOrder_ger_pmull
- StdOrder_RealOrder_ger_pmulr
- StdOrder_RealOrder_gtr0_norm
- StdOrder_RealOrder_gtr_addl
- StdOrder_RealOrder_gtr_addr
- StdOrder_RealOrder_gtr_nmull
- StdOrder_RealOrder_gtr_nmulr
- StdOrder_RealOrder_gtr_pmull
- StdOrder_RealOrder_gtr_pmulr
- StdOrder_RealOrder_ieexprIn
- StdOrder_RealOrder_ieexprn_weq1
- StdOrder_RealOrder_invr_ge0
- StdOrder_RealOrder_invr_ge1
- StdOrder_RealOrder_invr_gt0
- StdOrder_RealOrder_invr_gt1
- StdOrder_RealOrder_invr_le0
- StdOrder_RealOrder_invr_le1
- StdOrder_RealOrder_invr_lt0
- StdOrder_RealOrder_invr_lt1
- StdOrder_RealOrder_le0r
- StdOrder_RealOrder_lef_ninv
- StdOrder_RealOrder_lef_pinv
- StdOrder_RealOrder_ler01
- StdOrder_RealOrder_ler0N1
- StdOrder_RealOrder_ler0_def
- StdOrder_RealOrder_ler0_norm
- StdOrder_RealOrder_ler0n
- StdOrder_RealOrder_lerN10
- StdOrder_RealOrder_ler_addl
- StdOrder_RealOrder_ler_addr
- StdOrder_RealOrder_ler_eexpr
- StdOrder_RealOrder_ler_iexpr
- StdOrder_RealOrder_ler_leVge
- StdOrder_RealOrder_ler_naddl
- StdOrder_RealOrder_ler_naddr
- StdOrder_RealOrder_ler_ndivl_mull
- StdOrder_RealOrder_ler_ndivl_mulr
- StdOrder_RealOrder_ler_ndivr_mull
- StdOrder_RealOrder_ler_ndivr_mulr
- StdOrder_RealOrder_ler_nemull
- StdOrder_RealOrder_ler_nemulr
- StdOrder_RealOrder_ler_nimull
- StdOrder_RealOrder_ler_nimulr
- StdOrder_RealOrder_ler_ninv
- StdOrder_RealOrder_ler_nmul2l
- StdOrder_RealOrder_ler_nmul2r
- StdOrder_RealOrder_ler_nmull
- StdOrder_RealOrder_ler_nmulr
- StdOrder_RealOrder_ler_nnorml
- StdOrder_RealOrder_ler_norm_maxr
- StdOrder_RealOrder_ler_paddl
- StdOrder_RealOrder_ler_paddr
- StdOrder_RealOrder_ler_pdivl_mull
- StdOrder_RealOrder_ler_pdivl_mulr
- StdOrder_RealOrder_ler_pdivr_mull
- StdOrder_RealOrder_ler_pdivr_mulr
- StdOrder_RealOrder_ler_pemull
- StdOrder_RealOrder_ler_pemulr
- StdOrder_RealOrder_ler_pexp
- StdOrder_RealOrder_ler_pimull
- StdOrder_RealOrder_ler_pimulr
- StdOrder_RealOrder_ler_pinv
- StdOrder_RealOrder_ler_pmul
- StdOrder_RealOrder_ler_pmul2l
- StdOrder_RealOrder_ler_pmul2r
- StdOrder_RealOrder_ler_pmull
- StdOrder_RealOrder_ler_pmulr
- StdOrder_RealOrder_ler_weexpn2l
- StdOrder_RealOrder_ler_weexpn2r
- StdOrder_RealOrder_ler_wiexpn2l
- StdOrder_RealOrder_ler_wnmul2l
- StdOrder_RealOrder_ler_wnmul2r
- StdOrder_RealOrder_ler_wpmul2l
- StdOrder_RealOrder_ler_wpmul2r
- StdOrder_RealOrder_lt0r
- StdOrder_RealOrder_lt0r_neq0
- StdOrder_RealOrder_ltf_ninv
- StdOrder_RealOrder_ltf_pinv
- StdOrder_RealOrder_ltr01
- StdOrder_RealOrder_ltr0N1
- StdOrder_RealOrder_ltr0Sn
- StdOrder_RealOrder_ltr0_neq0
- StdOrder_RealOrder_ltr0_norm
- StdOrder_RealOrder_ltr0n
- StdOrder_RealOrder_ltrN10
- StdOrder_RealOrder_ltr_addl
- StdOrder_RealOrder_ltr_addr
- StdOrder_RealOrder_ltr_eexpr
- StdOrder_RealOrder_ltr_iexpr
- StdOrder_RealOrder_ltr_naddl
- StdOrder_RealOrder_ltr_naddr
- StdOrder_RealOrder_ltr_ndivl_mull
- StdOrder_RealOrder_ltr_ndivl_mulr
- StdOrder_RealOrder_ltr_ndivr_mull
- StdOrder_RealOrder_ltr_ndivr_mulr
- StdOrder_RealOrder_ltr_ninv
- StdOrder_RealOrder_ltr_nmul2l
- StdOrder_RealOrder_ltr_nmul2r
- StdOrder_RealOrder_ltr_nmull
- StdOrder_RealOrder_ltr_nmulr
- StdOrder_RealOrder_ltr_nnorml
- StdOrder_RealOrder_ltr_paddl
- StdOrder_RealOrder_ltr_paddr
- StdOrder_RealOrder_ltr_pdivl_mull
- StdOrder_RealOrder_ltr_pdivl_mulr
- StdOrder_RealOrder_ltr_pdivr_mull
- StdOrder_RealOrder_ltr_pdivr_mulr
- StdOrder_RealOrder_ltr_pinv
- StdOrder_RealOrder_ltr_pmul
- StdOrder_RealOrder_ltr_pmul2l
- StdOrder_RealOrder_ltr_pmul2r
- StdOrder_RealOrder_ltr_pmull
- StdOrder_RealOrder_ltr_pmulr
- StdOrder_RealOrder_ltr_snaddl
- StdOrder_RealOrder_ltr_snaddr
- StdOrder_RealOrder_ltr_snsaddl
- StdOrder_RealOrder_ltr_snsaddr
- StdOrder_RealOrder_ltr_spaddl
- StdOrder_RealOrder_ltr_spaddr
- StdOrder_RealOrder_ltr_spsaddl
- StdOrder_RealOrder_ltr_spsaddr
- StdOrder_RealOrder_maxr'def
- StdOrder_RealOrder_mulr_ege1
- StdOrder_RealOrder_mulr_egt1
- StdOrder_RealOrder_mulr_ge0
- StdOrder_RealOrder_mulr_ge0_le0
- StdOrder_RealOrder_mulr_gt0
- StdOrder_RealOrder_mulr_ile1
- StdOrder_RealOrder_mulr_ilt1
- StdOrder_RealOrder_mulr_le0
- StdOrder_RealOrder_mulr_le0_ge0
- StdOrder_RealOrder_naddr_eq0
- StdOrder_RealOrder_nmulr_lge0
- StdOrder_RealOrder_nmulr_lgt0
- StdOrder_RealOrder_nmulr_lle0
- StdOrder_RealOrder_nmulr_llt0
- StdOrder_RealOrder_nmulr_rge0
- StdOrder_RealOrder_nmulr_rgt0
- StdOrder_RealOrder_nmulr_rle0
- StdOrder_RealOrder_nmulr_rlt0
- StdOrder_RealOrder_normE
- StdOrder_RealOrder_normr0
- StdOrder_RealOrder_normr0P
- StdOrder_RealOrder_normr0_eq0
- StdOrder_RealOrder_normr1
- StdOrder_RealOrder_normrN1
- StdOrder_RealOrder_normrZ
- StdOrder_RealOrder_normr_ge0
- StdOrder_RealOrder_normr_gt0
- StdOrder_RealOrder_normr_idP
- StdOrder_RealOrder_normr_le0
- StdOrder_RealOrder_normr_lt0
- StdOrder_RealOrder_normr_unit
- StdOrder_RealOrder_oppr_ge0
- StdOrder_RealOrder_oppr_gt0
- StdOrder_RealOrder_oppr_le0
- StdOrder_RealOrder_oppr_lt0
- StdOrder_RealOrder_paddr_eq0
- StdOrder_RealOrder_pmulr_gt0
- StdOrder_RealOrder_pmulr_lge0
- StdOrder_RealOrder_pmulr_lgt0
- StdOrder_RealOrder_pmulr_lle0
- StdOrder_RealOrder_pmulr_llt0
- StdOrder_RealOrder_pmulr_rge0
- StdOrder_RealOrder_pmulr_rgt0
- StdOrder_RealOrder_pmulr_rle0
- StdOrder_RealOrder_pmulr_rlt0
- StdOrder_RealOrder_pnatr_eq0
- StdOrder_RealOrder_real_axiom
- StdOrder_RealOrder_subr_ge0
- StdOrder_RealOrder_subr_gt0
- StdOrder_RealOrder_subr_le0
- StdOrder_RealOrder_subr_lt0
- StdOrder_RealOrder_unit_normr
- StdOrder_RealOrder_upto_maxr

Answer with up to 8 candidate names, ranked most-necessary first, copied
EXACTLY from the list above.
